stream,position,trap,22.03.2018,26.03.2018,27.03.2018,29.03.2018,03.04.2018,06.04.2018,09.04.2018,12.04.2018,16.04.2018,19.04.2018,23.04.2018,26.04.2018,30.04.2018,02.05.2018,03.05.2018,07.05.2018,10.05.2018,14.05.2018,15.05.2018,17.05.2018,22.05.2018,24.05.2018,28.05.2018,30.05.2018,04.06.2018,08.06.2018,09.06.2018,11.06.2018,14.06.2018,15.06.2018,18.06.2018,21.06.2018,25.06.2018,28.06.2018,02.07.2018,05.07.2018,09.07.2018,12.07.2018,16.07.2018,17.07.2018,18.07.2018,19.07.2018,23.07.2018,26.07.2018,30.07.2018,31.07.2018,01.08.2018,02.08.2018,06.08.2018,09.08.2018,13.08.2018,16.08.2018,20.08.2018,21.08.2018,22.08.2018,27.08.2018,28.08.2018,30.08.2018,03.09.2018,04.09.2018,06.09.2018,10.09.2018,11.09.2018,12.09.2018,13.09.2018
Russbach,forest,1,4,4,0,3,5,3,3,3,4,3,4,3,4,0,3,4,3,4,0,3,5,2,4,2,5,4,0,3,3,0,4,3,4,3,4,3,4,3,4,0,0,3,4,3,4,0,2,0,5,3,4,3,4,0,2,5,0,3,4,0,3,4,0,2,0
Russbach,forest,2,4,4,0,3,5,3,3,3,4,3,4,3,4,0,3,4,3,4,0,3,5,2,4,2,5,4,0,3,3,0,4,3,4,3,4,3,4,3,4,0,0,3,4,3,4,0,2,0,5,3,4,3,4,0,2,5,0,3,4,0,3,4,0,2,0
Otterbach,forest,1,4,4,0,3,5,3,3,3,4,3,4,3,4,0,3,4,3,4,0,3,5,2,4,2,5,4,0,3,3,0,4,3,4,3,4,3,4,3,4,0,0,3,4,3,4,0,2,0,5,3,4,3,4,0,2,5,0,3,4,0,3,4,0,2,0
Otterbach,forest,2,4,4,0,3,5,3,3,3,4,3,4,3,4,0,3,4,3,4,0,3,5,2,4,2,5,4,0,3,3,0,4,3,4,3,4,3,4,3,4,0,0,3,4,3,4,0,2,0,5,3,4,3,4,0,2,5,0,3,4,0,3,4,0,2,0
Dierbach,forest,1,4,4,0,3,5,3,3,3,4,3,4,3,4,0,3,4,3,4,0,3,5,2,4,2,5,4,0,3,3,0,4,3,4,3,4,3,4,3,4,0,0,3,4,3,4,0,2,0,5,3,4,3,4,0,2,5,0,3,4,0,3,4,0,2,0
Dierbach,forest,2,4,4,0,3,5,3,3,3,4,3,4,3,4,0,3,4,3,4,0,3,5,2,4,2,5,4,0,NA,3,0,4,3,4,3,4,3,4,3,4,0,0,3,4,3,4,0,2,0,5,3,4,3,4,0,2,5,0,3,4,0,3,4,0,2,0
Klingbach,forest,1,4,4,0,3,5,3,3,3,4,3,4,3,4,0,3,4,3,4,0,3,5,2,NA,2,NA,NA,0,NA,3,0,4,3,4,3,4,3,4,3,4,0,2,0,5,3,4,0,2,0,5,3,4,3,4,0,2,5,0,3,4,0,3,4,0,2,0
Klingbach,forest,2,4,4,0,3,5,3,3,3,4,3,4,3,4,0,3,4,3,4,0,NA,5,2,NA,2,NA,NA,0,NA,NA,0,4,3,4,3,4,3,4,3,NA,0,2,0,5,3,4,0,2,0,5,3,4,3,NA,0,2,5,0,3,4,0,3,4,0,2,0
Kaiserbach,forest,1,4,4,0,3,5,3,3,3,4,3,4,3,4,0,3,4,3,NA,0,3,5,2,NA,2,NA,4,0,3,3,0,4,3,4,3,4,3,4,3,0,5,0,2,4,3,4,0,2,0,5,3,4,3,4,0,2,5,0,3,4,0,3,4,0,2,0
Kaiserbach,forest,2,4,4,0,3,5,3,3,3,4,3,4,3,4,0,3,4,3,NA,0,3,5,2,NA,2,NA,4,0,3,3,0,4,3,4,3,4,3,4,3,0,5,0,2,4,3,4,0,2,0,5,3,4,3,4,0,2,5,0,3,4,0,3,4,0,2,0
Isenach,forest,1,3,0,5,2,5,3,3,3,4,3,4,3,4,0,3,4,3,0,5,2,5,2,4,2,5,0,5,2,0,4,3,3,4,3,4,3,4,3,0,5,0,2,4,3,0,5,0,2,4,3,4,3,0,5,0,0,4,2,0,5,2,0,5,0,2
Isenach,forest,2,3,0,5,2,5,3,3,3,4,3,4,3,4,0,3,4,3,0,5,2,5,2,4,2,5,0,5,2,0,4,3,3,4,3,4,3,4,3,0,5,0,2,4,3,0,5,0,2,4,3,4,3,0,5,0,0,4,2,0,5,2,0,5,0,2
Kropsbach,forest,1,3,0,5,2,5,3,3,3,NA,3,4,3,4,0,3,4,3,0,5,2,5,2,NA,NA,NA,NA,0,3,3,0,4,3,4,3,4,3,NA,NA,0,5,0,2,4,3,4,0,2,0,5,3,4,3,4,0,2,5,0,3,0,5,2,0,5,0,2
Kropsbach,forest,2,3,0,5,2,5,3,3,3,NA,3,4,3,4,0,3,4,3,0,5,2,5,2,NA,NA,NA,NA,0,3,NA,0,NA,3,4,3,4,3,NA,NA,0,NA,0,2,4,3,4,0,2,0,5,3,4,3,4,0,2,5,0,3,0,5,2,0,5,0,2
Triefenbach,forest,1,3,0,5,2,5,3,3,3,4,3,4,3,4,0,3,4,3,0,5,2,5,2,NA,2,5,4,0,3,3,0,4,3,4,3,4,3,4,3,0,5,1,0,5,3,4,0,2,0,5,3,4,3,4,0,2,5,0,3,0,5,2,0,5,0,2
Triefenbach,forest,2,3,0,5,2,5,3,3,3,4,3,4,3,4,0,3,4,3,0,5,2,5,2,NA,2,NA,4,0,3,3,0,4,3,4,3,4,3,4,3,0,5,1,0,5,3,4,0,2,0,5,3,4,3,4,0,2,5,0,3,0,5,2,0,5,0,2
Modenbach,forest,1,3,0,5,2,5,3,3,3,4,3,4,3,4,2,1,4,3,0,5,2,5,2,4,2,5,4,0,3,3,0,4,3,4,3,4,3,4,3,4,0,2,0,5,3,4,0,2,0,5,3,4,3,4,0,2,5,0,3,0,5,2,0,5,0,2
Modenbach,forest,2,3,0,5,2,5,3,3,3,4,3,4,3,4,2,1,4,3,0,5,2,5,2,NA,NA,NA,4,0,3,3,0,4,3,4,3,4,3,4,3,4,0,2,0,5,3,4,0,2,0,5,3,4,3,4,0,2,5,0,3,0,5,2,0,5,0,2
Hainbach,forest,1,3,0,5,2,5,3,3,3,4,3,4,3,4,0,3,4,3,0,5,2,5,2,4,2,5,4,0,0,6,0,4,3,4,3,4,3,4,3,4,0,2,0,5,3,4,0,2,0,5,3,4,3,4,0,2,5,0,3,0,5,2,0,5,0,2
Hainbach,forest,2,3,0,5,2,5,3,3,3,4,3,4,3,4,0,3,4,3,0,NA,2,5,2,4,2,NA,4,0,0,6,0,4,3,4,3,4,3,4,3,4,0,2,0,5,3,4,0,2,0,5,3,4,3,4,0,2,NA,0,3,0,5,2,0,NA,0,NA
Russbach,vine,1,4,4,NA,NA,5,3,3,NA,4,3,4,3,4,0,3,4,3,NA,0,3,5,2,3,2,5,4,0,3,3,0,4,3,4,3,4,3,4,3,4,0,0,3,4,3,4,0,2,0,5,3,4,3,4,0,2,5,0,3,4,0,3,4,0,2,0
Russbach,vine,2,4,4,NA,NA,NA,3,3,NA,4,3,4,3,4,0,3,4,3,NA,0,3,5,2,3,2,NA,4,0,3,3,0,4,3,4,3,4,3,4,3,4,0,0,3,4,3,4,0,2,0,5,3,4,3,4,0,2,5,0,3,4,0,3,4,0,2,0
Otterbach,vine,1,4,4,NA,NA,5,3,3,3,4,3,4,3,4,0,3,4,3,4,0,3,5,2,3,2,NA,4,0,NA,NA,0,4,3,4,3,4,3,4,3,NA,0,2,0,5,3,4,0,2,0,5,3,4,3,NA,0,2,5,0,3,4,0,3,4,0,2,0
Otterbach,vine,2,4,4,NA,NA,5,3,3,3,4,3,4,3,4,0,3,4,3,NA,0,NA,5,2,3,2,NA,4,0,NA,NA,0,4,3,4,3,4,3,4,3,NA,0,2,0,5,3,4,0,2,0,5,3,4,3,NA,0,2,5,0,3,4,0,3,4,0,2,0
Dierbach,vine,1,4,4,0,3,5,3,3,3,4,3,4,3,4,0,3,4,3,4,0,3,5,2,4,2,NA,4,0,3,3,0,4,3,4,3,4,3,4,3,4,0,2,0,5,3,4,0,2,0,5,3,4,3,4,0,2,5,0,3,4,0,3,4,0,2,0
Dierbach,vine,2,4,4,0,3,5,3,3,3,4,3,4,3,4,0,3,4,3,4,0,3,5,2,4,2,NA,4,0,3,3,0,4,3,4,3,4,3,4,3,4,0,2,0,5,3,4,0,2,0,5,3,4,3,4,0,2,5,0,3,4,0,3,4,0,2,0
Klingbach,vine,1,4,4,0,3,5,3,3,3,NA,3,4,3,4,0,3,4,3,4,0,3,5,2,4,2,5,4,0,3,3,0,4,3,4,3,4,3,4,3,4,0,0,3,4,3,4,0,2,0,5,3,4,3,4,0,2,5,0,3,4,0,3,4,0,2,0
Klingbach,vine,2,4,4,0,3,5,3,3,3,NA,3,4,3,4,0,NA,4,3,4,0,3,5,2,4,2,NA,4,0,NA,NA,0,4,3,NA,3,4,3,4,3,4,0,0,3,4,3,4,0,2,0,5,3,4,3,4,0,2,5,0,3,4,0,3,4,0,2,0
Kaiserbach,vine,1,4,4,0,3,5,3,3,3,4,3,4,3,4,0,3,4,3,4,0,3,5,2,NA,2,NA,4,0,3,3,0,4,3,4,3,4,3,4,3,4,0,0,3,4,3,4,0,2,0,5,3,4,3,NA,0,2,5,0,3,4,0,3,4,0,2,0
Kaiserbach,vine,2,4,4,0,3,5,3,3,3,NA,3,4,3,4,0,3,4,3,NA,0,3,5,2,NA,2,NA,4,0,3,3,0,4,3,4,3,4,3,4,3,4,0,0,3,4,3,4,0,2,0,5,3,4,3,NA,0,2,5,0,3,4,0,3,4,0,2,0
Isenach,vine,1,3,0,5,2,5,3,3,3,4,3,4,3,4,0,3,4,3,0,5,2,5,2,4,2,5,NA,5,2,3,0,4,3,4,3,4,3,4,3,0,5,0,2,4,3,0,5,0,2,4,3,4,3,0,5,0,0,4,2,0,5,2,0,5,0,2
Isenach,vine,2,3,0,5,2,5,3,3,3,4,3,4,3,4,0,3,4,3,0,NA,2,5,2,4,2,5,NA,5,2,3,0,4,3,4,3,4,3,4,3,0,5,0,2,4,3,0,5,0,2,4,3,4,3,0,5,0,0,4,2,0,5,2,0,5,0,2
Kropsbach,vine,1,3,0,5,NA,NA,NA,3,3,NA,3,4,3,4,0,3,4,3,0,NA,2,5,2,4,NA,NA,NA,0,3,NA,0,NA,3,4,3,4,3,4,3,0,5,0,2,NA,3,4,0,2,0,5,3,4,3,4,0,2,5,0,3,0,5,2,0,5,0,2
Kropsbach,vine,2,3,0,5,NA,NA,NA,3,3,NA,3,4,3,4,0,3,4,3,0,NA,2,5,2,4,NA,NA,NA,0,3,NA,0,NA,3,4,3,4,3,4,3,0,5,y,2,NA,3,4,0,2,0,5,3,4,3,4,0,2,5,0,3,0,5,2,0,5,0,2
Triefenbach,vine,1,3,0,5,2,5,3,3,3,4,3,4,3,4,0,3,4,3,0,5,2,5,2,4,2,5,4,0,3,3,0,4,3,4,3,4,3,4,3,0,5,1,0,5,3,4,0,2,0,5,3,4,3,4,0,2,5,0,3,0,5,2,0,5,0,2
Triefenbach,vine,2,3,0,5,2,5,3,3,3,4,3,4,3,4,0,3,4,3,0,5,2,5,2,4,2,5,4,0,3,3,0,4,3,4,3,4,3,4,3,0,5,1,0,5,3,4,0,2,0,5,3,4,3,4,0,2,5,0,3,0,5,2,0,5,0,2
Modenbach,vine,1,3,0,5,NA,5,3,3,3,NA,3,4,3,4,0,3,4,3,0,5,2,5,2,4,2,NA,4,0,3,NA,0,4,3,4,3,4,3,4,3,0,5,1,0,5,3,4,0,2,0,5,3,4,3,4,0,2,5,0,3,0,5,2,0,5,0,2
Modenbach,vine,2,3,0,5,NA,NA,3,3,3,NA,3,4,3,4,0,3,4,3,0,NA,2,5,2,4,2,NA,4,0,NA,NA,0,4,3,4,3,4,3,4,3,0,5,1,0,NA,3,4,0,2,0,5,3,4,3,4,0,2,NA,0,3,0,5,2,0,5,0,2
Hainbach,vine,1,3,0,5,2,5,3,3,3,NA,3,4,NA,4,0,3,4,3,0,5,2,5,2,4,2,NA,NA,0,3,3,0,4,3,4,3,4,3,4,3,4,0,2,0,5,3,4,0,2,0,5,3,NA,3,4,0,2,NA,0,3,0,5,2,0,5,0,2
Hainbach,vine,2,3,0,5,2,5,3,3,3,NA,3,4,NA,4,0,3,4,3,0,5,2,5,2,4,2,NA,NA,0,3,3,0,4,3,4,3,4,3,4,3,4,0,2,0,NA,3,4,0,2,0,5,3,NA,3,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
