Organism,treatment,experiment,experiment_ID,original_spider_ID,replace_spider_1,date_replacement_1,replace_spider_2,date_replacement_2,date_treatment_ended,dead_not_found_encapsulation,comment
spider,start,M1,21,21,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,22,22,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,24,24,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,38,38,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,39,39,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,44,44,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,48,48,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,49,49,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,59,59,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,63,63,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,65,65,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,70,70,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,74,74,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,78,78,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,79,79,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,81,81,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,86,86,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,106,106,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,111,111,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,115,115,NA,NA,NA,NA,29.04.2019,e,
spider,oatmeal,M1,oatmeal_1,27,126,07.05.2019,NA,NA,22.05.2019,e,
spider,oatmeal,M1,oatmeal_2,85,NA,NA,NA,NA,12.06.2019,e,
spider,oatmeal,M1,oatmeal_3,42,NA,NA,NA,NA,29.05.2019,nf,
spider,oatmeal,M1,oatmeal_4,83,NA,NA,NA,NA,12.06.2019,e,
spider,oatmeal,M1,oatmeal_5,54,123,07.05.2019,NA,NA,22.05.2019,d,
spider,oatmeal,M1,oatmeal_6,94,NA,NA,NA,NA,29.05.2019,d,
spider,oatmeal,M1,oatmeal_7,80,NA,NA,NA,NA,05.06.2019,d,
spider,oatmeal,M1,oatmeal_8,72,NA,NA,NA,NA,12.06.2019,e,
spider,oatmeal,M1,oatmeal_9,36,NA,NA,NA,NA,22.05.2019,e,
spider,oatmeal,M1,oatmeal_10,60,NA,NA,NA,NA,22.05.2019,e,
spider,oatmeal,M1,oatmeal_11,57,NA,NA,NA,NA,12.06.2019,e,not found at 06.06.2019
spider,oatmeal,M1,oatmeal_12,73,NA,NA,NA,NA,22.05.2019,e,
spider,oatmeal,M1,oatmeal_13,113,NA,NA,NA,NA,29.05.2019,nf,
spider,oatmeal,M1,oatmeal_14,66,NA,NA,NA,NA,22.05.2019,nf,
spider,oatmeal,M1,oatmeal_15,99,NA,NA,NA,NA,15.05.2019,d,
spider,oatmeal,M1,oatmeal_16,68,NA,NA,NA,NA,22.05.2019,e,
spider,oatmeal,M1,oatmeal_17,46,NA,NA,NA,NA,05.06.2019,nf,
spider,oatmeal,M1,oatmeal_18,96,NA,NA,NA,NA,12.06.2019,e,
spider,oatmeal,M1,oatmeal_19,56,NA,NA,NA,NA,22.05.2019,d,
spider,oatmeal,M1,oatmeal_20,90,NA,NA,NA,NA,12.06.2019,e,
spider,fishfood,M1,fishfood_1,93,NA,NA,NA,NA,22.05.2019,d,
spider,fishfood,M1,fishfood_2,95,NA,NA,NA,NA,14.05.2019,d,
spider,fishfood,M1,fishfood_3,55,NA,NA,NA,NA,05.06.2019,d,
spider,fishfood,M1,fishfood_4,53,NA,NA,NA,NA,05.06.2019,d,
spider,fishfood,M1,fishfood_5,25,NA,NA,NA,NA,22.05.2019,e,
spider,fishfood,M1,fishfood_6,23,NA,NA,NA,NA,12.06.2019,e,
spider,fishfood,M1,fishfood_7,84,127,03.05.2019,NA,NA,05.06.2019,d,
spider,fishfood,M1,fishfood_8,71,NA,NA,NA,NA,22.05.2019,d,
spider,fishfood,M1,fishfood_9,50,NA,NA,NA,NA,05.06.2019,d,
spider,fishfood,M1,fishfood_10,107,NA,NA,NA,NA,12.06.2019,e,
spider,fishfood,M1,fishfood_11,120,NA,NA,NA,NA,05.06.2019,d,
spider,fishfood,M1,fishfood_12,64,NA,NA,NA,NA,05.06.2019,d,
spider,fishfood,M1,fishfood_13,121,NA,NA,NA,NA,14.05.2019,d,
spider,fishfood,M1,fishfood_14,117,NA,NA,NA,NA,22.05.2019,d,
spider,fishfood,M1,fishfood_15,45,NA,NA,NA,NA,22.05.2019,e,
spider,fishfood,M1,fishfood_16,108,NA,NA,NA,NA,17.05.2019,d,
spider,fishfood,M1,fishfood_17,69,NA,NA,NA,NA,12.06.2019,e,
spider,fishfood,M1,fishfood_18,43,NA,NA,NA,NA,22.05.2019,e,
spider,fishfood,M1,fishfood_19,52,NA,NA,NA,NA,22.05.2019,e,
spider,fishfood,M1,fishfood_20,67,NA,NA,NA,NA,22.05.2019,d,
spider,algae,M1,algae_1,104,NA,NA,NA,NA,22.05.2019,d,
spider,algae,M1,algae_2,75,NA,NA,NA,NA,12.06.2019,e,
spider,algae,M1,algae_3,40,NA,NA,NA,NA,24.05.2019,nf,
spider,algae,M1,algae_4,88,122,03.05.2019,NA,NA,05.06.2019,d,
spider,algae,M1,algae_5,82,NA,NA,NA,NA,22.05.2019,d,
spider,algae,M1,algae_6,41,NA,NA,NA,NA,24.05.2019,nf,
spider,algae,M1,algae_7,118,NA,NA,NA,NA,05.06.2019,nf,
spider,algae,M1,algae_8,89,NA,NA,NA,NA,29.05.2019,d,
spider,algae,M1,algae_9,116,NA,NA,NA,NA,05.06.2019,d,
spider,algae,M1,algae_10,34,NA,NA,NA,NA,22.05.2019,e,
spider,algae,M1,algae_11,114,NA,NA,NA,NA,22.05.2019,e,
spider,algae,M1,algae_12,97,NA,NA,NA,NA,12.06.2019,e,
spider,algae,M1,algae_13,103,NA,NA,NA,NA,22.05.2019,e,
spider,algae,M1,algae_14,62,NA,NA,NA,NA,05.06.2019,d,
spider,algae,M1,algae_15,33,NA,NA,NA,NA,07.06.2019,d,
spider,algae,M1,algae_16,37,NA,NA,NA,NA,12.06.2019,e,
spider,algae,M1,algae_17,100,NA,NA,NA,NA,22.05.2019,e,
spider,algae,M1,algae_18,92,NA,NA,NA,NA,08.05.2019,d,
spider,algae,M1,algae_19,105,124,07.05.2019,NA,NA,22.05.2019,e,
spider,algae,M1,algae_20,77,NA,NA,NA,NA,05.06.2019,d,
spider,start,M2,133,133,NA,NA,NA,NA,08.07.2019,e,
spider,start,M2,138,138,NA,NA,NA,NA,08.07.2019,e,
spider,start,M2,163,163,NA,NA,NA,NA,08.07.2019,e,
spider,start,M2,164,164,NA,NA,NA,NA,08.07.2019,e,
spider,start,M2,165,165,NA,NA,NA,NA,08.07.2019,e,
spider,start,M2,168,168,NA,NA,NA,NA,08.07.2019,e,
spider,start,M2,181,181,NA,NA,NA,NA,08.07.2019,e,
spider,start,M2,187,187,NA,NA,NA,NA,08.07.2019,e,
spider,start,M2,202,202,NA,NA,NA,NA,08.07.2019,e,
spider,start,M2,203,203,NA,NA,NA,NA,08.07.2019,e,
spider,start,M2,215,215,NA,NA,NA,NA,08.07.2019,e,
spider,start,M2,216,216,NA,NA,NA,NA,08.07.2019,e,
spider,start,M2,225,225,NA,NA,NA,NA,08.07.2019,e,
spider,oatmeal,M2,oatmeal_1,221,NA,NA,NA,NA,22.07.2019,e,
spider,oatmeal,M2,oatmeal_2,171,218,12.07.2019,182,28.07.2010,29.07.2019,e,
spider,oatmeal,M2,oatmeal_3,186,NA,NA,NA,NA,29.07.2019,e,
spider,oatmeal,M2,oatmeal_4,159,NA,NA,NA,NA,22.07.2019,e,
spider,oatmeal,M2,oatmeal_5,204,NA,NA,NA,NA,29.07.2019,e,
spider,oatmeal,M2,oatmeal_6,167,NA,NA,NA,NA,29.07.2019,e,
spider,oatmeal,M2,oatmeal_7,222,NA,NA,NA,NA,24.07.2019,nf,
spider,oatmeal,M2,oatmeal_8,132,NA,NA,NA,NA,29.07.2019,e,
spider,oatmeal,M2,oatmeal_9,146,NA,NA,NA,NA,24.07.2019,nf,
spider,oatmeal,M2,oatmeal_10,190,NA,NA,NA,NA,22.07.2019,e,
spider,oatmeal,M2,oatmeal_11,130,NA,NA,NA,NA,26.07.2019,d,
spider,oatmeal,M2,oatmeal_12,154,NA,NA,NA,NA,22.07.2019,e,
spider,oatmeal,M2,oatmeal_13,189,NA,NA,NA,NA,22.07.2019,e,
spider,oatmeal,M2,oatmeal_14,195,NA,NA,NA,NA,22.07.2019,e,
spider,oatmeal,M2,oatmeal_15,134,NA,NA,NA,NA,26.07.2019,d,
spider,oatmeal,M2,oatmeal_16,223,NA,NA,NA,NA,22.07.2019,e,
spider,oatmeal,M2,oatmeal_17,157,NA,NA,NA,NA,22.07.2019,e,
spider,oatmeal,M2,oatmeal_18,228,NA,NA,NA,NA,22.07.2019,e,
spider,oatmeal,M2,oatmeal_19,135,217,15.07.2019,NA,NA,29.07.2019,e,
spider,oatmeal,M2,oatmeal_20,160,NA,NA,NA,NA,22.07.2019,e,
spider,fishfood,M2,fishfood_1,198,148,15.07.2019,NA,NA,29.07.2019,nf,
spider,fishfood,M2,fishfood_2,170,147,12.07.2019,NA,NA,29.07.2019,e,
spider,fishfood,M2,fishfood_3,219,NA,NA,NA,NA,22.07.2019,e,
spider,fishfood,M2,fishfood_4,175,136,12.07.2019,162,28.07.2010,29.07.2019,e,
spider,fishfood,M2,fishfood_5,196,NA,NA,NA,NA,29.07.2019,nf,
spider,fishfood,M2,fishfood_6,180,NA,NA,NA,NA,29.07.2019,e,
spider,fishfood,M2,fishfood_7,161,NA,NA,NA,NA,22.07.2019,e,
spider,fishfood,M2,fishfood_8,213,NA,NA,NA,NA,22.07.2019,e,
spider,fishfood,M2,fishfood_9,158,NA,NA,NA,NA,22.07.2019,e,
spider,fishfood,M2,fishfood_10,206,NA,NA,NA,NA,22.07.2019,e,
spider,fishfood,M2,fishfood_11,139,NA,NA,NA,NA,29.07.2019,e,
spider,fishfood,M2,fishfood_12,214,166,15.07.2019,NA,NA,26.07.2019,d,
spider,fishfood,M2,fishfood_13,201,NA,NA,NA,NA,29.07.2019,e,
spider,fishfood,M2,fishfood_14,131,NA,NA,NA,NA,22.07.2019,e,
spider,fishfood,M2,fishfood_15,212,NA,NA,NA,NA,22.07.2019,e,
spider,fishfood,M2,fishfood_16,140,NA,NA,NA,NA,22.07.2019,e,
spider,fishfood,M2,fishfood_17,185,NA,NA,NA,NA,22.07.2019,e,
spider,fishfood,M2,fishfood_18,137,NA,NA,NA,NA,22.07.2019,e,
spider,fishfood,M2,fishfood_19,199,177,15.07.2019,NA,NA,26.07.2019,d,
spider,fishfood,M2,fishfood_20,188,NA,NA,NA,NA,29.07.2019,e,
spider,leaves,M2,leaves_1,207,153,11.07.2019,NA,NA,29.07.2019,e,
spider,leaves,M2,leaves_2,197,184,22.07.2019,NA,NA,29.07.2019,nf,
spider,leaves,M2,leaves_3,169,NA,NA,NA,NA,22.07.2019,e,
spider,leaves,M2,leaves_4,150,NA,NA,NA,NA,29.07.2019,e,
spider,leaves,M2,leaves_5,152,NA,NA,NA,NA,22.07.2019,e,
spider,leaves,M2,leaves_6,226,NA,NA,NA,NA,26.07.2019,d,
spider,leaves,M2,leaves_7,149,NA,NA,NA,NA,22.07.2019,e,
spider,leaves,M2,leaves_8,142,NA,NA,NA,NA,22.07.2019,e,
spider,leaves,M2,leaves_9,191,NA,NA,NA,NA,22.07.2019,e,
spider,leaves,M2,leaves_10,174,NA,NA,NA,NA,22.07.2019,nf,
spider,leaves,M2,leaves_11,179,209,15.07.2019,NA,NA,29.07.2019,e,
spider,leaves,M2,leaves_12,193,NA,NA,NA,NA,29.07.2019,e,
spider,leaves,M2,leaves_13,220,NA,NA,NA,NA,22.07.2019,e,
spider,leaves,M2,leaves_14,227,NA,NA,NA,NA,22.07.2019,e,
spider,leaves,M2,leaves_15,183,211,12.07.2019,NA,NA,22.07.2019,e,
spider,leaves,M2,leaves_16,194,NA,NA,NA,NA,29.07.2019,e,
spider,leaves,M2,leaves_17,144,178,12.07.2019,NA,NA,29.07.2019,e,
spider,leaves,M2,leaves_18,176,NA,NA,NA,NA,22.07.2019,e,
spider,leaves,M2,leaves_19,210,172,11.07.2019,NA,NA,22.07.2019,e,
spider,leaves,M2,leaves_20,192,208,12.07.2019,NA,NA,26.07.2019,d,
